Hours;00:00 - 00:59;01:00 - 01:59;02:00 - 02:59;03:00 - 03:59;04:00 - 04:59;05:00 - 05:59;06:00 - 06:59;07:00 - 07:59;08:00 - 08:59;09:00 - 09:59;10:00 - 10:59;11:00 - 11:59;12:00 - 12:59;13:00 - 13:59;14:00 - 14:59;15:00 - 15:59;16:00 - 16:59;17:00 - 17:59;18:00 - 18:59;19:00 - 19:59;20:00 - 20:59;21:00 - 21:59;22:00 - 22:59;23:00 - 23:59;
Logs;14;2;12;5;6;0;0;0;27;182;527;278;149;270;76;147;136;168;181;85;145;85;37;30
MotionD_L;14;2;8;5;4;0;0;0;24;108;258;254;133;186;64;140;122;164;162;67;81;46;27;28;
EMeter_Coffemaker;0;0;0;0;0;0;0;0;0;23;145;0;0;0;0;0;0;0;0;0;0;0;0;0;
ContactS_Fridge;0;0;4;0;2;0;0;0;3;16;76;22;6;42;3;7;12;4;13;10;39;25;6;2;
ContactS_Cupboard;0;0;0;0;0;0;0;0;0;21;20;2;10;38;9;0;2;0;6;4;19;14;4;0;
EMeter_Microwave;0;0;0;0;0;0;0;0;0;14;28;0;0;4;0;0;0;0;0;4;6;0;0;0;
